siRNA ID,Catalog Number,Gene Symbol,Gene Name,Alias,RefSeq,GenBank mRNA,Product Family,siRNA Type,Availability,siRNA Assay,Matched Keywords
s21191,4392420,SLC17A3,solute carrier family 17 member 3,GOUT4;NPT4;UAQTL4,NM_001098486.1;NM_006632.3,AK298367.1;AK298297.1;U90545.1;DC340735.1;BC017952.1;AK296082.1;AK296070.1;AK298271.1;DC361549.1,,Silencer® Select,Inventoried,,s21191
s20383,4392420,CD2BP2,CD2 cytoplasmic tail binding protein 2,FWP010;LIN1;PPP1R59;Snu40;U5-52K,NM_001243646.1;NM_006110.2,AB033004.1;BC013854.1;AK315708.1;KU178518.1;AF104222.1;BC000495.2;AF109192.1;BC001947.1,,Silencer® Select,Inventoried,,s20383
s21625,4392420,GCN1,"GCN1, eIF2 alpha kinase activator homolog",GCN1L;GCN1L1;PRIC295,NM_006836.1,BC153881.1;AK297271.1;D86973.2,,Silencer® Select,Inventoried,,s21625
s19757,4392420,SUGP2,SURP and G-patch domain containing 2,SFRS14,NM_014884.4;NM_001321697.1;NM_001321698.1;NM_001321699.1;XM_017026137.1;NM_001017392.4,AK074842.1;AL832488.1;BC020586.1;BX647813.1;AF518874.1;AK291275.1;AB002363.2,,Silencer® Select,Inventoried,,s19757
s223129,4392420,ARL6IP5,ADP ribosylation factor like GTPase 6 interacting protein 5,DERP11;GTRAP3-18;HSPC127;JWA;PRAF3;Yip6b;addicsin;hp22;jmx,NM_006407.3,AB097051.1;AK312731.1;AB014765.1;BC107899.1;BC020797.1;AF125530.1;BG483337.1;AF115965.1;AK301637.1;AK303148.1;AB052638.1;AK074612.1;BC005143.2;AY102608.1;AF070523.1;AF161476.1,,Silencer® Select,Inventoried,,s223129
s20407,4392420,RBM14,RNA binding motif protein 14,COAA;PSP2;SIP;SYTIP1;TMEM137,NM_006328.3;NM_001198836.1,AK222830.1;DB044990.1;BC023619.2;KU178520.1;BC000488.2;KU178521.1;AF315633.1;AF080561.1;AK021768.1;AB209007.1;AF315632.1,,Silencer® Select,Inventoried,,s20407
s20197,4392420,AKR1A1,aldo-keto reductase family 1 member A1,ALDR1;ALR;ARM;DD3;HEL-S-6,XM_011540492.2;XM_011540491.2;NM_153326.2;NM_006066.3;NM_001202414.1;NM_001202413.1,J04794.1;BC005394.1;AK293083.1;BT007003.1;EU794588.1;BC000670.2;EU668319.1;CR457010.1,,Silencer® Select,Inventoried,,s20197
s21472,4392420,COPS8,COP9 signalosome subunit 8,COP9;CSN8;SGN8,NM_006710.4;NM_198189.2,AK289891.1;AK308962.1;BG721393.1;BC080617.1;BC036499.1;U51205.1;AK313437.1;AK294078.1;CR456994.1;BC003090.1;BF979628.1,,Silencer® Select,Inventoried,,s21472
s20361,4392420,RAPGEF3,Rap guanine nucleotide exchange factor 3,CAMP-GEFI;EPAC;EPAC1;HSU79275;bcm910,NM_006105.5;XM_011537755.1;NM_001098531.2;NM_001098532.2;XM_005268571.3;XM_011537752.1;XM_011537758.2,AK290230.1;BC017728.1;AK074444.1;AF103905.1;AK055502.1;AK125545.1;AK299029.1;AK092448.1;BC092404.1;U78168.1,,Silencer® Select,Inventoried,,s20361
s20642,4392420,NOP56,NOP56 ribonucleoprotein,NOL5A;SCA36,NR_027700.2;NM_006392.3,AK292721.1;BX647439.1;BC004937.1;BC104791.1;Y12065.1;BC104793.1;BC035369.1;AK097186.1;BX641071.1;BX647513.1,,Silencer® Select,Inventoried,,s20642
s20827,4392420,MXD4,MAX dimerization protein 4,MAD4;MST149;MSTP149;bHLHc12,XM_011513388.2;NM_006454.2,AF040963.1;BT019969.1;BC068060.1;BT019970.1;AK024501.1;AF082740.1;AF187724.1,,Silencer® Select,Inventoried,,s20827
s21550,4390824,CBX1,chromobox 1,CBX;HP1-BETA;HP1Hs-beta;HP1Hsbeta;M31;MOD1;p25beta,NM_001127228.1;NM_006807.4,DB026977.1;AK312615.1;BC002609.1;DA020204.1;CR456766.1;BC021302.2;U35451.1,,Silencer® Select,Inventoried,,s21550
s21637,4392420,LILRB5,leukocyte immunoglobulin like receptor B5,CD85C;LIR-8;LIR8,XM_011526359.2;NM_001081442.2;NM_001081443.2;NM_006840.4;XM_011526361.2;XM_011526362.2;XM_011526360.2;NM_001304457.1,AK090399.1;AK223296.1;BC025704.1;AF025534.1;AK301112.1;AK290845.1;AK092867.1;AK301338.1,,Silencer® Select,Inventoried,,s21637
s20578,4390824,CARM1,coactivator associated arginine methyltransferase 1,PRMT4,XM_011527638.2;XM_005259708.4;NM_199141.1,AL833242.1;AF055027.1;BC046240.1,,Silencer® Select,Inventoried,,s20578
s20892,4392420,ATP5L;ATP5L2,"ATP synthase, H+ transporting, mitochondrial Fo complex subunit G;ATP synthase, H+ transporting, mitochondrial Fo complex subunit G2",ATP5JG;ATP5K2,NM_001165877.1;NM_006476.4;NR_033759.1,AL050277.1;AK289568.1;BC015128.1;AF070655.1;CR533494.1;CR542211.1;AF087846.1;BC093721.1;BC093719.1;AF092923.1;BU953217.1;BC070165.1,,Silencer® Select,Inventoried,,s20892
s21571,4392420,TMED2,transmembrane p24 trafficking protein 2,P24A;RNP24;p24;p24b1;p24beta1,NM_001321445.1;NM_006815.3,BC025957.1;X92098.1;BI086507.1;AK298167.1;CR541682.1;CR541663.1;AK303189.1;AK312975.1,,Silencer® Select,Inventoried,,s21571
s20171,4392420,B3GALT5,"beta-1,3-galactosyltransferase 5","B3GalT-V;B3GalTx;B3T5;GLCT5;beta-1,3-GalTase 5;beta-3-Gx-T5;beta3Gal-T5",XM_017028236.1;XM_017028237.1;XM_017028238.1;XM_017028239.1;XM_017028232.1;XM_017028233.1;XM_017028234.1;XM_017028235.1;XM_017028228.1;XM_017028229.1;XM_017028230.1;XM_017028231.1;NM_006057.2;NM_001278650.1;XM_017028227.1;NM_033170.2;NM_033171.2;XM_017028240.1;XM_017028241.1;NM_033172.2,AK292951.1;AY372061.1;BC104864.1;BC104862.1;AB020337.1,,Silencer® Select,Inventoried,,s20171
s20099,4392420,SAP18,Sin3A associated protein 18,2HOR0202;SAP18P,XM_011534868.2;NM_005870.4,U96915.1;CR457035.1;BC030836.1;AY550970.1;AF153608.1;U78303.1;AK311748.1;DB171768.1,,Silencer® Select,Inventoried,,s20099
s19917,4392420,DDX39A,DEAD-box helicase 39A,BAT1;BAT1L;DDX39;DDXL;URH49,NR_046366.2;XM_011527620.1;XM_006722606.3;XM_011527621.2;NM_005804.3,AL512698.1;BM792110.1;BC032128.2;U90426.1;BC001009.2,,Silencer® Select,Inventoried,,s19917
s20688,4390824,PRDX4,peroxiredoxin 4,AOE37-2;AOE372;HEL-S-97n;PRX-4,XM_017029231.1;XM_005274438.1;XM_017029230.1;NM_006406.1,BC007107.1;CR541705.1;CR541668.1;BC003609.2;FJ224297.1;BC016770.1;U25182.1,,Silencer® Select,Inventoried,,s20688
s20437,4392420,LRRN2,leucine rich repeat neuronal 2,FIGLER7;GAC1;LRANK1;LRRN5,XM_017000050.1;XM_005244827.3;NM_006338.2;NM_201630.1;XM_011509066.2,BC034047.1;AL833565.1;AY358290.1;AK312408.1;AF030435.1;AK226055.1;BC068541.1,,Silencer® Select,Inventoried,,s20437
s21692,4390824,KDELR3,KDEL endoplasmic reticulum protein retention receptor 3,ERD2L3,NM_016657.2;NM_006855.3,AK222930.1;AK292102.1;BC096722.1;BC098131.1;BC098156.1;AK223238.1;BC098336.1;CR456509.1;BC001277.1;AL035081.1;AL035082.1;AK129888.1,,Silencer® Select,Inventoried,,s21692
s223106,4392420,CCNO,cyclin O,CCNU;CILD29;UDG2,NM_021147.4;NR_125348.1;NR_125346.1;NR_125347.1,BC004877.2;X52486.1;AK026075.1,,Silencer® Select,Inventoried,,s223106
s20821,4390824,PAICS,phosphoribosylaminoimidazole carboxylase; phosphoribosylaminoimidazolesuccinocarboxamide synthase,ADE2;ADE2H1;AIRC;PAIS,NM_001079525.1;XM_011534366.1;NM_001079524.1;NM_006452.3,BC019255.1;BM807012.1;X53793.1;CR749824.1;AK294821.1;BT006988.1;AK308527.1;BC010273.1,,Silencer® Select,Inventoried,,s20821
s20040,4390824,ABCC4,ATP binding cassette subfamily C member 4,MOAT-B;MOATB;MRP4,XM_017020319.1;NM_001301829.1;XM_017020320.1;XM_017020321.1;NM_001301830.1;XM_005254025.2;XM_017020322.1;NM_005845.4;NM_001105515.2,AB208973.1;AK290317.1;AF541977.1;AY207008.1;AY081219.1;BC041560.1;AF071202.1;BP382967.1;AF071203.1;AK296247.1;BX647118.1,,Silencer® Select,Inventoried,,s20040
s20670,4392420,GLRX3,glutaredoxin 3,GLRX4;GRX3;GRX4;PICOT;TXNL2;TXNL3,NM_001199868.1;NM_001321980.1;XM_017015474.1;NM_006541.4,AK225609.1;BC014372.1;AK022131.1;BI256922.1;AJ010841.1;AF118652.1;BC005289.1;AF118649.1,,Silencer® Select,Inventoried,,s20670
s20818,4392420,PAIP1,poly(A) binding protein interacting protein 1,,XM_005248230.3;NM_182789.3;XM_017008956.1;NM_183323.2;NM_006451.4,AF013758.2;AK308270.1;DB089732.1;BC015937.2;AL136920.1;BG719757.1;BC005295.1,,Silencer® Select,Inventoried,,s20818
s21523,4392420,UGT2A2;UGT2A1,UDP glucuronosyltransferase family 2 member A1 complex locus;UDP glucuronosyltransferase family 2 member A2,UDPGT2A1,NM_001105677.2;NM_001252275.2;NM_006798.4;NM_001301239.1;NM_001301233.1;NM_001252274.2,FJ664272.1;AJ006054.1;AK304249.1;FJ664273.1;BC142640.1;CD105882.1;AK314209.1,,Silencer® Select,Inventoried,,s21523
s134,4392420,UQCR11,"ubiquinol-cytochrome c reductase, complex III subunit XI",0710008D09Rik;QCR10;UQCR,NM_006830.3,BC000462.2;BC003594.1,,Silencer® Select,Inventoried,,s134
s20683,4392420,TM9SF1,transmembrane 9 superfamily member 1,HMP70;MP70,NM_006405.6;NM_001014842.2;NM_001289006.1,BX161390.1;BC010856.2;AK292110.1;AK304642.1;BX161494.1;U94831.1,,Silencer® Select,Inventoried,,s20683
s20246,4392420,ABCA9,ATP binding cassette subfamily A member 9,EST640918,XM_017024013.1;XM_017024012.1;XM_017024015.1;NM_080283.3;XM_017024014.1;XM_017024011.1,AY028899.1;CR627382.1;AF423307.1,,Silencer® Select,Inventoried,,s20246
s21002,4390824,B3GNT2,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2",3-Gn-T1;3-Gn-T2;B3GN-T2;B3GNT;B3GNT-2;B3GNT1;BETA3GNT;BGNT2;BGnT-2;beta-1;beta3Gn-T1;beta3Gn-T2,NM_001319075.1;NM_006577.5,BC047933.1;AK002009.1;AF288209.1;AB049584.1;AF092051.2;AF288208.1;BC030579.2;AJ006077.1,,Silencer® Select,Inventoried,,s21002
s501307,4392420,ENG,endoglin,END;HHT1;ORW1,NM_000118.3;NM_001114753.2;NM_001278138.1,AK222669.1;AK300156.1;AK301171.1;BT006872.1;J05481.1;BC014271.2;X72012.1;AK290389.1;AK223044.1,,Silencer® Select,Inventoried,,s501307
s20388,4390824,CDIPT,CDP-diacylglycerol--inositol 3-phosphatidyltransferase,PIS;PIS1,XM_005255038.4;NM_001286586.1;NM_006319.4;NM_001286585.1,AK290632.1;AK300805.1;AK314544.1;AK097691.1;AK131227.1;AF014807.1;AK131349.1;CR542016.1;AK094468.1;AL050383.1;BX333193.2;BT007301.1;AK310988.1;AK222676.1;BC001444.2,,Silencer® Select,Inventoried,,s20388
s195079,4392420,ACOT2,acyl-CoA thioesterase 2,CTE-IA;CTE1A;MTE1;PTE2;PTE2A;ZAP128,XM_006720007.1;NM_006821.5;XM_017020937.1,BC006335.2;DQ082755.1;AK001939.1;AK223635.1,,Silencer® Select,Inventoried,,s195079
s20551,4392420,CREB3,cAMP responsive element binding protein 3,LUMAN;LZIP;sLZIP,NM_006368.4,AF029674.1;BC009402.2;AF211848.1;U88528.1;BC010158.2;AK299781.1;FJ263669.1;AF009368.1;AK313635.1,,Silencer® Select,Inventoried,,s20551
s7128,4390824,IDS,iduronate 2-sulfatase,MPS2;SIDS,NR_104128.1;NM_000202.7;NM_006123.4;NM_001166550.3,BC006170.1;BX647357.1;AK294541.1;M58342.1;L40586.1,,Silencer® Select,Inventoried,,s7128
s21707,4390824,RAB35,"RAB35, member RAS oncogene family",H-ray;RAB1C;RAY,NM_001167606.1;XM_011537779.1;NM_006861.6;XM_017018723.1,BM467132.1;AF498960.1;AK304620.1;AK300127.1;BQ233709.1;BT020024.1;DC349830.1;DC370610.1;X79781.1;AK125543.1;BC015931.2;CR541683.1;DC408044.1;AK312538.1;CR536486.1,,Silencer® Select,Inventoried,,s21707
s256,4390824,KIF1C,kinesin family member 1C,LTXS1;SATX2;SAX2;SPAX2;SPG58,NM_006612.5;XM_005256424.2,BC034993.1;U91329.1;AB014606.2;AK307401.1,,Silencer® Select,Inventoried,,s256
s19801,4392420,LPCAT3,lysophosphatidylcholine acyltransferase 3,C3F;LPCAT;LPLAT 5;LPSAT;MBOAT5;OACT5;nessy,NM_005768.5,AK058063.1;BX648009.1;AK296171.1;U72515.1;BX647983.1;AK296145.1;BC000664.2;BC065194.1;BT007000.1;AK311727.1;AK315538.1,,Silencer® Select,Inventoried,,s19801
s13580,4392420,STK11,serine/threonine kinase 11,LKB1;PJS;hLKB1,XM_005259617.2;XM_005259618.3;NM_000455.4;XM_011528209.1,BC019334.1;U63333.1;AF217978.1;AB209553.1;EF644172.1;AF035625.1;AK314858.1;KU178339.1;BC007981.2,,Silencer® Select,Inventoried,,s13580
s21735,4392420,ADAP1,ArfGAP with dual PH domains 1,CENTA1;GCS1L;p42IP4,NM_001284311.1;NM_001284310.1;NM_001284309.1;NM_001284308.1;NM_006869.3,AK300859.1;AB097049.1;AJ006422.1;DA872042.1;BM837987.1;AK300999.1;AF082324.1;BC033747.1;AK300644.1;AK290517.1;AK124979.1;AK092471.1,,Silencer® Select,Inventoried,,s21735
s21560,4392420,PDIA5,protein disulfide isomerase family A member 5,PDIR,NR_028444.1;NM_006810.3,D49490.1;AK054963.1;BC001625.1,,Silencer® Select,Inventoried,,s21560
s21687,4390824,KDELR2,KDEL endoplasmic reticulum protein retention receptor 2,ELP-1;ERD2.2,NM_006854.3,BC008081.2;AK315702.1;M88458.1;AK093917.1;BC012994.2;X63745.1,,Silencer® Select,Inventoried,,s21687
s15652,4392420,GAN,gigaxonin,GAN1;KLHL16,XM_017023734.1;NM_022041.3,AF291673.1;KU178410.1;AK095378.1;BC044840.1;KU178409.1,,Silencer® Select,Inventoried,,s15652
s19780,4390824,TRIM28,tripartite motif containing 28,KAP1;PPP1R157;RNF96;TF1B;TIF1B,NM_005762.2,AK225760.1;U95040.1;U78773.1;BC052986.2;AK313478.1;BC004978.1;X97548.1,,Silencer® Select,Inventoried,,s19780
s19979,4392420,HNRNPR,heterogeneous nuclear ribonucleoprotein R,HNRPR;hnRNP-R,NM_001297621.1;XM_005245711.4;XM_011540477.2;XM_017000009.1;NM_001102399.2;XM_011540471.2;XM_017000010.1;NM_005826.4;XM_011540472.2;NM_001102397.2;NM_001102398.2,AK313142.1;DA496215.1;BX647784.1;BC110389.1;AK297405.1;AU126696.1;BX640912.1;BC001449.2;AF000364.1;DA773186.1,,Silencer® Select,Inventoried,,s19979
s19961,4392420,COQ7,"coenzyme Q7, hydroxylase",CAT5;CLK-1;CLK1;COQ10D8,NM_016138.4;NM_001190983.1,AK024291.1;AL136647.1;AK225115.1;AK315470.1;AF098948.1;BC003185.1;BC043272.1,,Silencer® Select,Inventoried,,s19961
s501392,4392420,OFD1,"OFD1, centriole and centriolar satellite protein",71-7A;CXorf5;JBTS10;RP23;SGBS2,XM_011545595.1;XM_011545594.2;XM_011545598.1;XM_011545597.1;XM_005274604.2;XM_017029910.1;XM_011545592.2;NM_003611.2;XM_017029911.1;XM_005274606.3;XM_017029909.1,BC096345.1;AK225847.1;GU727634.1;AK297104.1;Y15164.1;Y16355.1;BC096344.3;AK290354.1,,Silencer® Select,Inventoried,,s501392
s20021,4392420,SPRY3,sprouty RTK signaling antagonist 3,spry-3,NM_001304990.1;NM_005840.2,BC074973.2;AK289543.1;AK125483.1;BC069609.1;BC074972.2,,Silencer® Select,Inventoried,,s20021
s20410,4392420,LYPLA1,lysophospholipase I,APT-1;APT1;LPL-I;LPL1;hAPT1,XM_005251127.4;XM_017012960.1;NM_001279356.1;NM_001279357.1;XM_017012959.1;XM_017012958.1;XM_017012957.1;NM_001279360.1;NM_001279358.1;NM_001279359.1;NM_006330.3;XM_017012956.1,AK289400.1;AF077199.1;AF052112.1;BC010397.1;AK298206.1;CR457103.1;AF291053.1;AF035293.1;AK313739.1;AF077198.1;BC008652.2;AF081281.1,,Silencer® Select,Inventoried,,s20410
s501323,4392420,GRN,granulin,CLN11;GEP;GP88;PCDGF;PEPI;PGRN,XM_005257253.1;NM_002087.3,AK000607.1;BC010577.2;BC000324.2;AK023348.1;AK222522.1;X62320.1;AF055008.1;AY124489.1,,Silencer® Select,Inventoried,,s501323
s19886,4392420,DHRS2,dehydrogenase/reductase 2,HEP27;SDR25C1,NM_182908.4;NM_005794.3;XM_011536338.1;XM_005267249.1;XM_011536339.2;XM_006720001.3,BC002786.2;AK092834.1;AK309945.1;BC007339.2;U31875.1;AK000345.1;AB209653.1,,Silencer® Select,Inventoried,,s19886
s21506,4392420,,,,,,,Silencer® Select,Inventoried,,s21506
s21279,4392420,FTCD,formimidoyltransferase cyclodeaminase,LCHC1,XM_011529439.2;NM_001320412.1;XM_011529440.2;XM_011529435.2;NM_006657.2;XM_011529436.2;XM_011529437.2;XM_006723962.3;NM_206965.1;XM_006723961.3;XM_011529434.2,AF289023.1;AF289024.1;BC136395.1;AF289021.1;AF289022.1;BC136383.1;AF169017.1;BC052248.1,,Silencer® Select,Inventoried,,s21279
s21651,4392420,SLC27A5,solute carrier family 27 member 5,ACSB;ACSVL6;BACS;BAL;FACVL3;FATP-5;FATP5;VLACSR;VLCS-H2;VLCSH2,XM_011526364.1;NM_001321196.1;NM_012254.2,AF064255.1;AK298446.1;AK123036.1,,Silencer® Select,Inventoried,,s21651
s19977,4392420,RASGRP2,RAS guanyl releasing protein 2,CALDAG-GEFI;CDC25L,NM_001098670.1;XM_011544720.1;NM_001318398.1;NM_001098671.1;XM_017017082.1;XM_011544725.2;XM_005273707.3;XM_017017086.1;XM_011544721.1;XM_017017085.1;NM_153819.1;XM_017017084.1;XM_011544718.1;XM_017017083.1;XM_011544722.1;XM_011544723.2,AK122694.1;AF043722.1;AK314637.1;AF081194.1;AK092852.1;BC117151.1;AK092882.1;Y12336.1;U78170.1;BC110306.1;AF043723.1,,Silencer® Select,Inventoried,,s19977
s21059,4392420,POLQ,DNA polymerase theta,PRO0327,XM_011512343.2;XM_011512348.2;XM_011512352.2;XM_011512347.2;NM_199420.3,AB209867.1;AY032677.1;CR936627.1;AY338826.2,,Silencer® Select,Inventoried,,s21059
s21529,4392420,MSL3,male-specific lethal 3 homolog (Drosophila),MSL3L1,NM_078628.1;XM_005274440.2;XM_011545442.2;NM_006800.3;NM_078629.3;NM_001282174.1;NM_001193270.2,BI091178.1;AK300814.1;CT002798.1;BC031210.1;DA788603.1;AF117065.1;DA172776.1;AK304419.1;AK294255.1;DA961602.1;DC395802.1;AK289780.1;AK025642.1,,Silencer® Select,Inventoried,,s21529
s20575,4392420,UNC13B,unc-13 homolog B,MUNC13;UNC13;Unc13h2,XM_011517684.2;NM_006377.3;XM_011517685.2,BC111800.1;AB209998.1;BC111781.1;AF020202.1;AK296836.1,,Silencer® Select,Inventoried,,s20575
s21325,4392420,SLC22A7,solute carrier family 22 member 7,NLT;OAT2,XM_011514257.2;XM_011514256.2;XM_006714970.3;XM_011514263.2;XM_017010200.1;XM_011514262.2;XM_017010201.1;XM_006714971.3;XM_011514261.2;XM_017010198.1;NM_006672.3;NM_153320.2;XM_011514259.1,AY050498.1;BC033805.1;AK290796.1;BC017963.1;AK309570.1;AF097518.1;AK290806.1;AF210455.1,,Silencer® Select,Inventoried,,s21325
s20630,4392420,KAT5,lysine acetyltransferase 5,ESA1;HTATIP;HTATIP1;PLIP;TIP;TIP60;ZC2HC5;cPLA2,NM_182709.2;NM_001206833.1;NM_182710.2;XM_006718421.2;NM_006388.3,BC064912.1;AK225100.1;AK226002.1;BC093032.1;AK313297.1;BC117167.1;BC143296.1;U67734.1;AB209813.1;AK304664.1;BC013211.1;BC000166.3,,Silencer® Select,Inventoried,,s20630
s21290,4392420,PDE10A,phosphodiesterase 10A,ADSD2;HSPDE10A;IOLOD;LINC00473;PDE10A19,NM_001130690.2;XM_006715321.3;XM_017010196.1;XM_017010194.1;XM_017010195.1;XM_011535387.2;XM_011535388.2;NM_006661.3;XM_011535393.2;XM_017010197.1,AF127479.1;KU232567.1;AF127480.1;AB020593.1;AB026816.1;BC143301.1;BC104860.1;BC143297.1;CR536567.1;BC104858.1,,Silencer® Select,Inventoried,,s21290
s21746,4392420,GUSBP3;SMA4;GUSBP9;SMA5;GUSBP2,"glucuronidase beta pseudogene;glucuronidase, beta pseudogene 9;glucuronidase, beta pseudogene 3;glucuronidase beta pseudogene;glucuronidase, beta pseudogene 2",SMA3;b55C20.2;GUSBL1;GUSBP4;SMA3-L;SMAC3L;SMAC3L2;b55C20.1;bA239L20.1;bA239L20.5;bGLU-Lp,NR_003504.3;NR_029426.1;NR_034021.1;NR_033968.1;NR_027386.2,AK289851.1;AK289965.1;BT006760.1;BC034017.1;AK094021.1;AW500063.1;CN312642.1;AK315849.1;AK289832.1;CF141910.1;AK097091.1;BC067351.1;BC140728.1;X83300.1;BC171739.1;DT218991.1;X83301.1;BC104473.1;BC131740.1,,Silencer® Select,Inventoried,,s21746
s21121,4392420,KLRA1P,"killer cell lectin like receptor A1, pseudogene",KLRA1;KLRAP1;LY49L;Ly-49L;Ly49,NR_028045.1,AK304677.1;BC101473.1;AY334570.1;BC101471.1;AK290077.1;AF047445.1;BC069697.1;AK296103.1;BC069734.1;BC069672.1,,Silencer® Select,Inventoried,,s21121
s21486,4390824,DBF4,DBF4 zinc finger,ASK;CHIF;DBF4A;ZDBF1,NM_001318060.1;NM_001318061.1;NM_001318062.1;NM_006716.3,AF160876.1;AF160249.1;AK303175.1;AB028070.1;AB028069.1;AK302010.1;AK292569.1;BC047693.1;BC022811.1;BC036045.1,,Silencer® Select,Inventoried,,s21486
s21313,4392420,CYP46A1,cytochrome P450 family 46 subfamily A member 1,CP46;CYP46,XM_017020933.1;NM_006668.1;XM_011536364.1,AF094480.1;AB209749.1;BC022539.1;AK295216.1,,Silencer® Select,Inventoried,,s21313
s19805,4392420,CHST4,carbohydrate sulfotransferase 4,GST3;GlcNAc6ST2;HECGLCNAC6ST;LSST,NM_001166395.1;NM_005769.2,AF149783.1;AK074746.1;BC035282.1;AF131235.1;AF280088.1;AK026635.1,,Silencer® Select,Inventoried,,s19805
